pelicula_id,actor,personaje
61,Tom Cruise,Capt. Pete 'Maverick' Mitchell
61,Miles Teller,Lt. Bradley 'Rooster' Bradshaw
61,Jennifer Connelly,Penny Benjamin
61,Jon Hamm,Adm. Beau 'Cyclone' Simpson
61,Glen Powell,Lt. Jake 'Hangman' Seresin
61,Ed Harris,Radm. Chester 'Hammer' Cain
61,Val Kilmer,Adm. Tom 'Iceman' Kazansky
61,Lewis Pullman,Lt. Robert 'Bob' Floyd
61,Charles Parnell,Adm. Solomon 'Warlock' Bates
62,Dennis Quaid,Doug White
62,Heather Graham,Terri White
62,Jesse Metcalfe,Jesse White
62,Abbey Rhyne,Bailey White
62,Jessi Case,Maggie White
62,Brett Rice,Jeff White
62,Rocky Myers,Dan Favio
62,Selena Anduze,Lisa Grimm
62,E. Roger Mitchell,Brian Norton
63,Pavlo Aldoshyn,Mykola
63,Maryna Koshkina,Nastia
63,Andrii Mostrenko,Cap
63,Roman Semysal,Brigade commander
63,Roman Yasinovskyi,
63,Oleh Shulha,
63,Yehor Kozlov,Ivan
63,Yevhen Chernykov,
63,Vadym Kurylko,Hyurza
64,Antonio Banderas,Cuda
64,Kate Bosworth,Estelle
64,Mojean Aria,Stray
64,Alexis Ren,Lexus
64,Zolee Griggs,Billie
64,2 Chainz,Freddie
64,Aaron Cohen,Joe
64,Natalie Burn,Olivia
64,Mark Rhino Smith,Doom
65,Giacomo Gianniotti,Diabolik
65,Miriam Leone,Eva Kant
65,Valerio Mastandrea,Ginko
65,Monica Bellucci,Altea di Vallenberg
65,Alessio Lapice,Roller
65,Linda Caridi,Elena Vanel
65,Pier Giorgio Bellocchio,Sgt. Palmer
65,Ester Pantano,Capo ballerina
65,Andrea Roncato,Barbo
66,Melissa Barrera,Sam Carpenter
66,Jenna Ortega,Tara Carpenter
66,Jasmin Savoy Brown,Mindy Meeks-Martin
66,Mason Gooding,Chad Meeks-Martin
66,Roger Jackson,"""The Voice"" (voice)"
66,Courteney Cox,Gale Weathers
66,Dermot Mulroney,Detective Bailey
66,Jack Champion,Ethan Landry
66,Josh Segarra,Danny Brackett
67,Sam Worthington,Jake Sully
67,Zoe Saldaña,Neytiri
67,Sigourney Weaver,Dr. Grace Augustine
67,Stephen Lang,Colonel Miles Quaritch
67,Michelle Rodriguez,Trudy Chacon
67,Giovanni Ribisi,Parker Selfridge
67,Joel David Moore,Norm Spellman
67,CCH Pounder,Mo'at
67,Wes Studi,Eytukan
68,John Boyega,Brian Brown-Easley
68,Michael Kenneth Williams,Eli Bernard
68,Nicole Beharie,Estel Valerie
68,Connie Britton,Lisa Larson
68,Selenis Leyva,Rosa Diaz
68,Jeffrey Donovan,Major Riddick
68,Olivia Washington,Cassandra Brown-Easley
68,London Covington,Kiah Easley
68,Robb Derringer,Chief Jack Quail
69,Taron Egerton,Henk Rogers
69,Nikita Efremov,Alexey Pajitnov
69,Sofia Lebedeva,Sasha
69,Anthony Boyle,Kevin Maxwell
69,Toby Jones,Robert Stein
69,Igor Grabuzov,Valentin Trifonov
69,Ben Miles,Howard Lincoln
69,Ken Yamamura,Minoru Arakawa
69,Roger Allam,Robert Maxwell
70,Adam Driver,Mills
70,Ariana Greenblatt,Koa
70,Chloe Coleman,Nevine
70,Nika King,Alya
70,Brian Dare,Zoic Ship (voice) (uncredited)
71,Chris Hemsworth,Thor Odinson
71,Natalie Portman,Jane Foster / The Mighty Thor
71,Christian Bale,Gorr
71,Tessa Thompson,King Valkyrie
71,Taika Waititi,Korg / Old Kronan God (voice)
71,Jaimie Alexander,Sif
71,Russell Crowe,Zeus
71,Chris Pratt,Peter Quill / Star-Lord
71,Karen Gillan,Nebula
72,Michael Weaver,Ray Marsh
72,Tim Griffin,Alan Meursault
72,Justin Huen,Sean Tibbets
72,Rune Temte,Jim
72,Sarah Alles,Freida
72,Laura Sophia Becker,Elsie
72,Ingrid Liavaag,Marlene
72,Thea Sofie Loch Næss,Lucy
73,Lauren LaVera,Sienna
73,David Howard Thornton,Art the Clown
73,Elliott Fullam,Jonathan
73,Sarah Voigt,Barbara
73,Kailey Hyman,Brooke
73,Casey Hartnett,Allie
73,Charlie McElveen,Jeff
73,Amelie McLain,The Little Pale Girl
73,Johnath Davis,Ricky
74,Keanu Reeves,John Wick
74,Michael Nyqvist,Viggo Tarasov
74,Ian McShane,Winston
74,John Leguizamo,Aurelio
74,Willem Dafoe,Marcus
74,Alfie Allen,Iosef Tarasov
74,Dean Winters,Avi
74,Adrianne Palicki,Ms. Perkins
74,Lance Reddick,Hotel Manager / Charon
75,Tom Holland,Peter Parker / Spider-Man
75,Zendaya,Michelle 'MJ' Jones
75,Benedict Cumberbatch,Stephen Strange / Doctor Strange
75,Jacob Batalon,Ned Leeds
75,Jon Favreau,Harold 'Happy' Hogan
75,Jamie Foxx,Max Dillon / Electro
75,Willem Dafoe,Norman Osborn / Green Goblin
75,Alfred Molina,Dr. Otto Octavius / Doctor Octopus
75,Benedict Wong,Wong
76,Jeffrey Donovan,Sheriff Roy Pulsipher
76,Penelope Mitchell,Jeanne
76,Richard Brake,Otis
76,Kerry Knuppe,Hano
76,Jake Choi,Slim
76,Richard Fleeshman,Angus
76,Craige Els,Julius Butterfield
76,Tilly Keeper,Charlotte Pulsipher
76,Nóra Trokán,Nell
77,Polina Avdeenko,
77,Yuliya Rudina,
77,Boris Khasanov,
77,Yuliya Zorkina,
77,Vasilisa Ruchimskaya,
78,Gregory Mann,Pinocchio (voice)
78,Ewan McGregor,Sebastian J. Cricket (voice)
78,David Bradley,Geppetto (voice)
78,Christoph Waltz,Count Volpe (voice)
78,Tilda Swinton,Wood Sprite / Death (voice)
78,Ron Perlman,Il Podestà (voice)
78,Finn Wolfhard,Candlewick (voice)
78,Cate Blanchett,Spazzatura the Monkey (voice)
78,Tim Blake Nelson,The Black Rabbits (voice)
79,Bruno Bichir,Toto (voice)
79,Mauricio Castillo,Barba Negra (voice)
79,Marcelo Barcelo,Polito (voice)
79,Miguel Rodarte,Barba Roja (voice)
79,Arath de la Torre,Barba Jan (voice)
79,Angélica Vale,Bibi (voice)
79,Maite Perroni,Di (Voice)
79,Carlos Espejel,Willy (voice)
79,Vadhir Derbez,Pingüino Rey (voice)
80,Masako Nozawa,Son Goku / Son Gohan / Son Goten / Gotenks (voice)
80,Toshio Furukawa,Piccolo (voice)
80,Yuko Minaguchi,Pan / Videl (voice)
80,Hiroshi Kamiya,Gamma #1 (voice)
80,Mamoru Miyano,Gamma #2 (voice)
80,Miyu Irino,Dr. Hedo (voice)
80,Ryota Takeuchi,Carmine / Garmine (voice)
80,Aya Hisakawa,Bulma (voice)
80,Mayumi Tanaka,Krillin / Yajirobe (voice)
81,Eva Green,Christine
81,Mark Strong,Felix
81,Chai Fonacier,Diana
81,Billie Gadsdon,Bobs
81,Cathy Belton,Liz
81,Anthony Falcon,Jomar
82,Amber Midthunder,Naru
82,Dakota Beavers,Taabe
82,Michelle Thrush,Aruka
82,Stormee Kipp,Wasape
82,Julian Black Antelope,Chief Kehetu
82,Dane DiLiegro,Predator
82,Stefany Mathias,Sumu (Chief Wife)
82,Bennett Taylor,Raphael
82,Mike Paterson,Big Beard
83,Kayla Adams,Sarah
83,Matthew Holcomb,Payson
83,Bryan David Roberts,Wade
83,Chloe Berman,Lisa
83,Brad Worch II,Greg
83,Eric Alperin,
83,Cody Renee Cameron,Ingrid
84,Ben Foster,Jan Žižka
84,Sophie Lowe,Kateřina
84,Michael Caine,Lord Boreš
84,Til Schweiger,Rožmberk
84,Matthew Goode,král Zikmund
84,Roland Møller,Torak
84,William Moseley,Jaroslav
84,Karel Roden,Václav IV.
84,Werner Daehn,Ulrich
85,Kirsten Day,Skipper / Tammy (voice)
85,America Young,Barbie (voice)
85,Ogie Banks,Sandwich Board Guy / Driver (voice)
85,Laila Berzins,Captain / Handsome Host (voice)
85,Alex Cazares,Anna / Brian / Helga / Big Kid / Book on Tape (voice)
85,Greg Chun,George / Cooks / Zincenzio Dracula (voice)
85,Julyza Commodore,Cheri / Chantal (voice)
85,Innocent Ekakitie,Deacon (voice)
